key,context,en,no,sv,da,de,nl,fr,es,es-MX,pt,pt-BR,it,el,fi,pl,cs,sk,hu,ro,hr,sl,bg,uk,tr,is,et,lv,lt,ga,ca,zh,zh-TW,ja,ko,hi,th,vi,id,ms,tl,bn,ar,he,fa
UnitRifleman,Infantry unit name (a rifle soldier).,Rifleman,Infanteri,Infanterist,Infanterist,Schütze,Schutter,Fusilier,Fusilero,Fusilero,Fuzileiro,Fuzileiro,Fuciliere,Τυφεκιοφόρος,Kiväärimies,Strzelec,Střelec,Strelec,Lövész,Pușcaș,Strijelac,Strelec,Стрелец,Стрілець,Tüfekçi,Riffilmaður,Laskur,Strēlnieks,Šaulys,Raidhfilí,Fuseller,步枪兵,步槍兵,ライフル兵,소총병,राइफलमैन,พลปืนเล็ก,Lính súng trường,Penembak,Penembak,Mamamaril,রাইফেলম্যান,مشاة,רובאי,تفنگدار
UnitTank,Tank unit name (armored vehicle).,Tank,Stridsvogn,Stridsvagn,Kampvogn,Panzer,Tank,Char,Tanque,Tanque,Tanque,Tanque,Carro armato,Άρμα,Panssarivaunu,Czołg,Tank,Tank,Tank,Tanc,Tenk,Tank,Танк,Танк,Tank,Skriðdreki,Tank,Tanks,Tankas,Tanc,Tanc,坦克,戰車,戦車,탱크,टैंक,รถถัง,Xe tăng,Tank,Kereta kebal,Tangke,ট্যাংক,دبابة,טנק,تانک
UnitHarvester,Resource harvester vehicle (gathers ore).,Harvester,Høster,Skördare,Høster,Sammler,Verzamelaar,Récolteuse,Cosechadora,Cosechadora,Colhedora,Colheitadeira,Raccoglitore,Συλλέκτης,Kerääjä,Kombajn,Sběrač,Zberač,Begyűjtő,Recoltor,Berač,Nabiralec,Комбайн,Комбайн,Toplayıcı,Safnari,Koguja,Vācējs,Kombainas,Buainteoir,Recol·lector,采矿车,採礦車,採掘車,채굴차,हार्वेस्टर,รถเก็บแร่,Xe thu hoạch,Pemanen,Penuai,Tagaani,হার্ভেস্টার,حاصدة,קוצר,برداشت‌گر
BldHqShort,Very short tag drawn on the HQ building (~2-4 chars).,HQ,HK,HK,HK,HQ,HK,QG,CG,CG,QG,QG,QG,ΑΡΧ,PK,KG,VEL,VEL,FŐH,CG,STO,ŠTA,ЩАБ,ШТАБ,KRG,HÖF,PK,ŠT,ŠT,CC,QG,总部,總部,本部,본부,मुख्य,บก,BCH,MRK,IBU,HK,সদর,مقر,מטה,ستاد
BldRefineryShort,Very short tag on the refinery building (~2-4 chars).,REF,RAF,RAF,RAF,RAF,RAF,RAF,REF,REF,REF,REF,RAF,ΔΙΥ,JAL,RAF,RAF,RAF,FIN,RAF,RAF,RAF,РАФ,РАФ,RAF,HRE,REF,REF,RAF,SCG,REF,精炼,精煉,精錬,정제,रिफा,กลั่น,LỌC,KIL,PNP,REP,শোধক,مصف,זיק,پالا
BldFactoryShort,Very short tag on the factory building (~2-4 chars).,FAC,FAB,FAB,FAB,FAB,FAB,USI,FÁB,FÁB,FÁB,FÁB,FAB,ΕΡΓ,TEH,FAB,TOV,TOV,GYÁR,FAB,TVO,TOV,ФАБ,ЗАВ,FAB,VER,TEH,RŪP,GAM,MON,FÀB,工厂,工廠,工場,공장,फैक,ผลิต,NM,PBK,KLG,PAB,কল,مصنع,מפע,کارخ
BldWallShort,Very short tag for wall/fence (~2-4 chars).,WALL,GJ,MUR,MUR,ZAUN,HEK,MUR,MURO,MURO,MURO,MURO,MURO,ΤΕΙΧ,AITA,MUR,ZEĎ,MÚR,KER,GARD,ZID,ZID,СТЕНА,СТІНА,DUVAR,GIR,MÜÜR,ŽOGS,TVORA,FÁL,MUR,围墙,圍牆,防壁,장벽,दीवार,กำแพง,TƯỜNG,PGR,PGR,PDR,দেয়াল,سور,גדר,حصار
BldTurretShort,Very short tag for the guard tower/turret (~2-4 chars).,TWR,TÅRN,TORN,TÅRN,TURM,TOR,TOUR,TOR,TOR,TOR,TOR,TOR,ΠΥΡ,TOR,WIE,VĚŽ,VEŽ,TOR,TUR,TOR,STO,КУЛА,ВЕЖА,KULE,TURN,TORN,TOR,BOK,TÚR,TOR,哨塔,哨塔,砲塔,포탑,बुर्ज,ป้อม,THÁP,MNR,MNR,TRE,বুরুজ,برج,מגד,برج
BldHq,Full name: Headquarters / main base building.,Headquarters,Hovedkvarter,Högkvarter,Hovedkvarter,Hauptquartier,Hoofdkwartier,Quartier général,Cuartel general,Cuartel general,Quartel-general,Quartel-general,Quartier generale,Αρχηγείο,Päämaja,Kwatera główna,Velitelství,Veliteľstvo,Főhadiszállás,Cartier General,Stožer,Štab,Щаб,Штаб,Karargah,Höfuðstöðvar,Peakorter,Štābs,Štabas,Ceanncheathrú,Quarter General,指挥部,指揮部,司令部,사령부,मुख्यालय,กองบัญชาการ,Sở chỉ huy,Markas,Ibu Pejabat,Himpilan,সদর দপ্তর,المقر الرئيسي,מטה ראשי,ستاد فرماندهی
BldRefinery,Full name: ore refinery building.,Refinery,Raffineri,Raffinaderi,Raffinaderi,Raffinerie,Raffinaderij,Raffinerie,Refinería,Refinería,Refinaria,Refinaria,Raffineria,Διυλιστήριο,Jalostamo,Rafineria,Rafinerie,Rafinéria,Finomító,Rafinărie,Rafinerija,Rafinerija,Рафинерия,Рафінерія,Rafineri,Hreinsistöð,Rafineerija,Rafinētava,Rafinerija,Scaglann,Refineria,矿石精炼厂,礦石精煉廠,精錬所,정제소,रिफाइनरी,โรงกลั่น,Nhà máy lọc,Kilang,Kilang Penapis,Repinerya,শোধনাগার,مصفاة,בית זיקוק,پالایشگاه
BldFactory,Full name: vehicle/unit factory building.,Factory,Fabrikk,Fabrik,Fabrik,Fabrik,Fabriek,Usine,Fábrica,Fábrica,Fábrica,Fábrica,Fabbrica,Εργοστάσιο,Tehdas,Fabryka,Továrna,Továreň,Gyár,Fabrică,Tvornica,Tovarna,Фабрика,Завод,Fabrika,Verksmiðja,Tehas,Rūpnīca,Gamykla,Monarcha,Fàbrica,战车工厂,戰車工廠,車両工場,차량 공장,कारखाना,โรงงาน,Nhà máy,Pabrik,Kilang,Pabrika,কারখানা,مصنع,מפעל,کارخانه
BldWall,Full name: defensive fence/wall.,Fence,Gjerde,Staket,Hegn,Zaun,Hek,Clôture,Valla,Cerca,Vedação,Cerca,Recinto,Φράχτης,Aita,Ogrodzenie,Plot,Plot,Kerítés,Gard,Ograda,Ograja,Ограда,Паркан,Çit,Girðing,Tara,Žogs,Tvora,Fál,Tanca,围栏,圍欄,フェンス,울타리,बाड़,รั้ว,Hàng rào,Pagar,Pagar,Bakod,বেড়া,سياج,גדר,حصار
BldTurret,Full name: defensive guard tower that shoots.,Guard Tower,Vakttårn,Vakttorn,Vagttårn,Wachturm,Wachttoren,Tour de garde,Torre de vigilancia,Torre de vigilancia,Torre de vigia,Torre de vigia,Torre di guardia,Πύργος Φρουράς,Vartiotorni,Wieża strażnicza,Strážní věž,Strážna veža,Őrtorony,Turn de pază,Stražarski toranj,Stražni stolp,Стражева кула,Вартова вежа,Gözcü Kulesi,Varðturn,Valvetorn,Sargtornis,Sargybos bokštas,Túr Garda,Torre de guàrdia,守卫塔,守衛塔,防衛塔,경비탑,रक्षक मीनार,หอคอยยาม,Tháp canh,Menara Jaga,Menara Pengawal,Toreng Bantay,প্রহরী টাওয়ার,برج حراسة,מגדל שמירה,برج نگهبانی
CatEconomy,"Sidebar category header, UPPERCASE: economy buildings.",ECONOMY,ØKONOMI,EKONOMI,ØKONOMI,WIRTSCHAFT,ECONOMIE,ÉCONOMIE,ECONOMÍA,ECONOMÍA,ECONOMIA,ECONOMIA,ECONOMIA,ΟΙΚΟΝΟΜΙΑ,TALOUS,GOSPODARKA,EKONOMIKA,EKONOMIKA,GAZDASÁG,ECONOMIE,EKONOMIJA,EKONOMIJA,ИКОНОМИКА,ЕКОНОМІКА,EKONOMİ,EFNAHAGUR,MAJANDUS,EKONOMIKA,EKONOMIKA,GEILLEAGAR,ECONOMIA,经济,經濟,経済,경제,अर्थव्यवस्था,เศรษฐกิจ,KINH TẾ,EKONOMI,EKONOMI,EKONOMIYA,অর্থনীতি,الاقتصاد,כלכלה,اقتصاد
CatDefense,"Sidebar category header, UPPERCASE: defensive buildings.",DEFENSE,FORSVAR,FÖRSVAR,FORSVAR,VERTEIDIGUNG,VERDEDIGING,DÉFENSE,DEFENSA,DEFENSA,DEFESA,DEFESA,DIFESA,ΑΜΥΝΑ,PUOLUSTUS,OBRONA,OBRANA,OBRANA,VÉDELEM,APĂRARE,OBRANA,OBRAMBA,ОТБРАНА,ОБОРОНА,SAVUNMA,VÖRN,KAITSE,AIZSARDZĪBA,GYNYBA,COSAINT,DEFENSA,防御,防禦,防衛,방어,रक्षा,ป้องกัน,PHÒNG THỦ,PERTAHANAN,PERTAHANAN,DEPENSA,প্রতিরক্ষা,الدفاع,הגנה,دفاع
RallyPoint,Label for the factory rally/gather point flag.,Rally point,Samlepunkt,Samlingspunkt,Samlingspunkt,Sammelpunkt,Verzamelpunt,Point de ralliement,Punto de reunión,Punto de reunión,Ponto de encontro,Ponto de encontro,Punto di raduno,Σημείο συγκέντρωσης,Kokoontumispiste,Punkt zbiórki,Shromaždiště,Zhromaždisko,Gyülekezőpont,Punct de adunare,Zborno mjesto,Zborno mesto,Сборен пункт,Точка збору,Toplanma noktası,Safnstaður,Kogunemispunkt,Pulcēšanās vieta,Rinkimosi taškas,Pointe cruinnithe,Punt de reunió,集结点,集結點,集結地点,집결 지점,एकत्रण बिंदु,จุดรวมพล,Điểm tập kết,Titik kumpul,Titik kumpul,Tipunan,সমাবেশ স্থান,نقطة التجمع,נקודת כינוס,نقطه تجمع
